,index,key,file_name,file_path,jpg_path,cluster_index
120,120,5359518,5359518.jpg,data/raw/orignal_images/5359518.jpg,data/processed/transformed_images/5359518.jpg,39
121,121,5338430,5338430.jpg,data/raw/orignal_images/5338430.jpg,data/processed/transformed_images/5338430.jpg,40
122,122,4000563,4000563.jpg,data/raw/orignal_images/4000563.jpg,data/processed/transformed_images/4000563.jpg,-1
123,123,3969583,3969583.jpg,data/raw/orignal_images/3969583.jpg,data/processed/transformed_images/3969583.jpg,-1
124,124,5254751,5254751.jpg,data/raw/orignal_images/5254751.jpg,data/processed/transformed_images/5254751.jpg,-1
125,125,5164588,5164588.jpg,data/raw/orignal_images/5164588.jpg,data/processed/transformed_images/5164588.jpg,-1
126,126,3999967,3999967.jpg,data/raw/orignal_images/3999967.jpg,data/processed/transformed_images/3999967.jpg,41
127,127,5233797,5233797.jpg,data/raw/orignal_images/5233797.jpg,data/processed/transformed_images/5233797.jpg,-1
128,128,4001117,4001117.jpg,data/raw/orignal_images/4001117.jpg,data/processed/transformed_images/4001117.jpg,-1
129,129,4000623,4000623.jpg,data/raw/orignal_images/4000623.jpg,data/processed/transformed_images/4000623.jpg,-1
130,130,5164610,5164610.jpg,data/raw/orignal_images/5164610.jpg,data/processed/transformed_images/5164610.jpg,-1
131,131,5251706,5251706.jpg,data/raw/orignal_images/5251706.jpg,data/processed/transformed_images/5251706.jpg,-1
132,132,5316822,5316822.jpg,data/raw/orignal_images/5316822.jpg,data/processed/transformed_images/5316822.jpg,42
133,133,5338308,5338308.jpg,data/raw/orignal_images/5338308.jpg,data/processed/transformed_images/5338308.jpg,43
134,134,5233757,5233757.jpg,data/raw/orignal_images/5233757.jpg,data/processed/transformed_images/5233757.jpg,-1
135,135,5234526,5234526.jpg,data/raw/orignal_images/5234526.jpg,data/processed/transformed_images/5234526.jpg,-1
136,136,5338496,5338496.jpg,data/raw/orignal_images/5338496.jpg,data/processed/transformed_images/5338496.jpg,-1
137,137,5340100,5340100.jpg,data/raw/orignal_images/5340100.jpg,data/processed/transformed_images/5340100.jpg,44
138,138,3999719,3999719.jpg,data/raw/orignal_images/3999719.jpg,data/processed/transformed_images/3999719.jpg,-1
139,139,3999869,3999869.jpg,data/raw/orignal_images/3999869.jpg,data/processed/transformed_images/3999869.jpg,-1
140,140,5359508,5359508.jpg,data/raw/orignal_images/5359508.jpg,data/processed/transformed_images/5359508.jpg,45
141,141,5338700,5338700.jpg,data/raw/orignal_images/5338700.jpg,data/processed/transformed_images/5338700.jpg,-1
142,142,5359472,5359472.jpg,data/raw/orignal_images/5359472.jpg,data/processed/transformed_images/5359472.jpg,-1
143,143,5254857,5254857.jpg,data/raw/orignal_images/5254857.jpg,data/processed/transformed_images/5254857.jpg,-1
